codigo_comuna;median_y1;pct_iae_2;pct_iai_2;pct_oficio1_9.0;count_hacinamiento_1;count_hacinamiento_2;count_hacinamiento_3;count_hacinamiento_4;count_hacinamiento_9;pct_trabajo_informal;pct_o25c_1.0;densidad;poblacion;comuna;region;casos_totales
13502;360000.0;6.312.292.358.803.980;1.944.629.014.396.450;3.408.748.114.630.460;4242.0;245.0;0.0;0.0;28.0;22.965.440.356.744.700;13.060.989.643.268.100;7.63;6444;Alhue;Metropolitana;2.0
13503;300000.0;13.283.454.332.181.400;21.285.229.686.459.700;19.616.551.928.344.000;29815.0;697.0;686.0;0.0;345.0;3.951.881.451.881.450;4.414.642.986.589.340;47.0;32579;Curacavi;Metropolitana;116.0
13504;270000.0;6.715.486.394.274.770;3.098.943.163.851.210;3.809.523.809.523.800;10826.0;845.0;327.0;19.0;0.0;2.688.274.547.187.790;2.082.018.927.444.790;34.5;13590;Maria Pinto;Metropolitana;12.0
13505;250000.0;0.0;2.675.094.816.687.730;43.325.092.707.045.700;7266.0;0.0;644.0;0.0;0.0;6.381.215.469.613.260;14.850.686.037.126.700;12.3;9726;San Pedro;Metropolitana;25.0
13601;350000.0;12.284.754.805.058.700;14.691.452.116.131.100;15.616.866.215.512.700;78388.0;4986.0;0.0;600.0;0.0;3.203.546.936.622.370;5.038.077.611.578.020;589.2;74237;Talagante;Metropolitana;155.0
13602;300000.0;797.714.638.665.843;4.080.296.479.308.210;36.804.692.891.649.400;29409.0;1719.0;1252.0;0.0;0.0;464.844.595.081.849;2.955.689.413.317.930;304.4;35923;El Monte;Metropolitana;80.0
13603;270000.0;5.026.855.396.302.560;2.691.177.779.756.070;338.196.653.298.299;29243.0;3736.0;648.0;72.0;0.0;354.324.494.949.495;3.734.343.590.536.570;191.6;36219;Isla de Maipo;Metropolitana;41.0
13604;340000.0;3.217.856.876.352.510;12.857.249.458.995.500;2.607.351.908.218.210;46903.0;3608.0;2048.0;1045.0;0.0;2.986.040.670.434.230;45.083.238.548.237;782.8;63250;Padre Hurtado;Metropolitana;202.0
13605;350000.0;2.557.310.781.341.410;238.253.284.399.766;1.496.947.944.774.820;84626.0;6572.0;2116.0;691.0;0.0;2.849.792.531.120.330;5.762.635.379.061.370;1307.3;90201;Penaflor;Metropolitana;222.0
14101;310000.0;3.263.692.485.478.810;22.185.931.940.516.300;17.994.088.071.164.100;153007.0;7724.0;2641.0;714.0;329.0;2.786.669.689.412.830;4.277.579.043.616.350;163.5;166080;Valdivia;Los Ríos;147.0
14102;276000.0;36.450.079.239.302.600;12.089.653.611.048.200;2.134.387.351.778.650;4150.0;219.0;48.0;0.0;0.0;27.239.884.393.063.500;3.441.324.694.024.470;6.91;5302;Corral;Los Ríos;11.0
14103;270000.0;2.073.375.131.913.830;22.496.740.952.262.700;25.507.573.316.145.600;14902.0;901.0;306.0;0.0;0.0;3.991.776.597.567.240;2.346.899.224.806.200;31.5;16752;Lanco;Los Ríos;9.0
14104;277000.0;11.137.968.624.105.400;2.032.323.806.815.480;24.483.559.467.057.800;19214.0;1324.0;288.0;38.0;235.0;3.640.367.434.251.910;1.908.109.875.735.770;11.0;19634;Los Lagos;Los Ríos;0.0
14105;300000.0;0.0;26.906.474.820.143.800;2.293.218.345.746.760;5697.0;226.0;116.0;216.0;0.0;25.663.331.883.427.500;18.015.414.258.188.800;12.2;7095;Mafil;Los Ríos;3.0
14106;274000.0;0.0;19.988.304.093.567.200;2.745.187.901.008.240;15343.0;1593.0;0.0;14.0;150.0;28.465.955.701.394.500;34.214.390.602.055.700;16.1;21278;Mariquina;Los Ríos;14.0
